dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.scala-lang:scala-library,18,122,174,0.15,0.1,0.15
commons-net:commons-net,org.apache.commons:commons-lang3,75,126,918,0.6,0.08,0.6
commons-net:commons-net,org.jsoup:jsoup,27,126,220,0.21,0.12,0.21
commons-collections:commons-collections,net.java.dev.jna:jna,42,272,146,0.15,0.29,0.29
org.apache.lucene:lucene-core,org.springframework.security:spring-security-web,13,136,102,0.1,0.13,0.13
org.apache.commons:commons-math3,org.springframework:spring-webmvc,11,177,251,0.06,0.04,0.06
commons-dbcp:commons-dbcp,org.springframework.security:spring-security-web,21,122,102,0.17,0.21,0.21
commons-dbcp:commons-dbcp,org.apache.commons:commons-math3,16,122,177,0.13,0.09,0.13
org.awaitility:awaitility,org.scala-lang:scala-library,17,141,174,0.12,0.1,0.12
org.apache.curator:curator-framework,org.eclipse.jetty:jetty-server,27,116,253,0.23,0.11,0.23
org.jsoup:jsoup,org.springframework:spring-beans,32,220,252,0.15,0.13,0.15
ch.qos.logback:logback-classic,io.springfox:springfox-swagger-ui,25,657,121,0.04,0.21,0.21
commons-configuration:commons-configuration,org.junit.jupiter:junit-jupiter,2,146,133,0.01,0.02,0.02
javax.servlet:jstl,log4j:log4j,56,119,491,0.47,0.11,0.47
javax.servlet:jstl,org.slf4j:slf4j-log4j12,60,119,528,0.5,0.11,0.5
javax.servlet:jstl,mysql:mysql-connector-java,55,119,494,0.46,0.11,0.46
org.apache.httpcomponents:httpmime,org.springframework.security:spring-security-web,15,143,102,0.1,0.15,0.15
commons-httpclient:commons-httpclient,org.slf4j:jcl-over-slf4j,29,138,298,0.21,0.1,0.21
com.jcraft:jsch,org.freemarker:freemarker,14,101,150,0.14,0.09,0.14
com.squareup.okhttp3:okhttp,commons-io:commons-io,87,212,1001,0.41,0.09,0.41
com.squareup.okhttp3:okhttp,commons-collections:commons-collections,24,212,272,0.11,0.09,0.11
javax.servlet.jsp:jsp-api,org.codehaus.groovy:groovy-all,12,103,117,0.12,0.1,0.12
javax.servlet:javax.servlet-api,org.apache.logging.log4j:log4j-api,76,468,267,0.16,0.28,0.28
javax.validation:validation-api,org.springframework:spring-core,62,194,326,0.32,0.19,0.32
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,javax.servlet.jsp:jsp-api,5,102,103,0.05,0.05,0.05
org.springframework:spring-aop,org.springframework:spring-core,142,171,326,0.83,0.44,0.83
org.antlr:antlr4-runtime,org.springframework:spring-beans,9,114,252,0.08,0.04,0.08
org.antlr:antlr4-runtime,org.hamcrest:hamcrest,7,114,127,0.06,0.06,0.06
com.fasterxml.jackson.core:jackson-core,org.apache.commons:commons-math3,53,510,177,0.1,0.3,0.3
org.eclipse.jetty:jetty-servlet,org.slf4j:jul-to-slf4j,34,189,140,0.18,0.24,0.24
org.eclipse.jetty:jetty-servlet,org.reflections:reflections,30,189,167,0.16,0.18,0.18
com.google.protobuf:protobuf-java,javax.servlet:javax.servlet-api,62,258,468,0.24,0.13,0.24
com.google.protobuf:protobuf-java,org.apache.httpcomponents:httpcore,55,258,255,0.21,0.22,0.22
com.google.protobuf:protobuf-java,io.springfox:springfox-swagger2,8,258,137,0.03,0.06,0.06
org.springframework.boot:spring-boot-starter-test,xerces:xercesImpl,7,127,109,0.06,0.06,0.06
org.junit.jupiter:junit-jupiter-api,org.quartz-scheduler:quartz,13,262,133,0.05,0.1,0.1
org.mockito:mockito-all,org.slf4j:slf4j-jdk14,17,388,101,0.04,0.17,0.17
joda-time:joda-time,org.springframework.boot:spring-boot-starter-web,20,382,139,0.05,0.14,0.14
com.jayway.jsonpath:json-path,org.apache.commons:commons-pool2,6,120,114,0.05,0.05,0.05
commons-lang:commons-lang,org.apache.hadoop:hadoop-common,51,415,125,0.12,0.41,0.41
org.apache.curator:curator-recipes,org.eclipse.jetty:jetty-webapp,22,128,155,0.17,0.14,0.17
org.apache.hadoop:hadoop-common,org.apache.lucene:lucene-core,12,125,136,0.1,0.09,0.1
com.google.code.gson:gson,org.codehaus.plexus:plexus-utils,46,624,135,0.07,0.34,0.34
com.google.code.gson:gson,org.apache.logging.log4j:log4j-slf4j-impl,55,624,217,0.09,0.25,0.25
org.apache.httpcomponents:httpcore,org.apache.logging.log4j:log4j-api,60,255,267,0.24,0.22,0.24
org.apache.commons:commons-pool2,org.springframework:spring-test,26,114,325,0.23,0.08,0.23
com.alibaba:druid,org.apache.kafka:kafka-clients,17,137,150,0.12,0.11,0.12
com.alibaba:druid,org.springframework:spring-expression,12,137,108,0.09,0.11,0.11
io.dropwizard.metrics:metrics-core,net.java.dev.jna:jna,19,145,146,0.13,0.13,0.13
com.github.ben-manes.caffeine:caffeine,javax.servlet:jstl,4,102,119,0.04,0.03,0.04
com.github.ben-manes.caffeine:caffeine,org.apache.ant:ant,9,102,154,0.09,0.06,0.09
org.apache.maven:maven-plugin-api,org.springframework:spring-context,46,254,417,0.18,0.11,0.18
javax.xml.bind:jaxb-api,mysql:mysql-connector-java,79,295,494,0.27,0.16,0.27
com.jayway.jsonpath:json-path,org.apache.maven:maven-artifact,7,120,117,0.06,0.06,0.06
org.slf4j:jcl-over-slf4j,org.springframework.boot:spring-boot-starter-test,24,298,127,0.08,0.19,0.19
javax.servlet:servlet-api,org.apache.logging.log4j:log4j-slf4j-impl,15,267,217,0.06,0.07,0.07
org.freemarker:freemarker,org.springframework.boot:spring-boot-starter-web,12,150,139,0.08,0.09,0.09
org.apache.httpcomponents:httpclient,org.easymock:easymock,72,665,185,0.11,0.39,0.39
com.h2database:h2,org.springframework:spring-web,71,353,278,0.2,0.26,0.26
com.h2database:h2,org.powermock:powermock-api-mockito2,26,353,100,0.07,0.26,0.26
log4j:log4j,org.apache.commons:commons-text,36,491,174,0.07,0.21,0.21
commons-validator:commons-validator,org.apache.avro:avro,10,101,108,0.1,0.09,0.1
commons-validator:commons-validator,org.bouncycastle:bcprov-jdk15on,23,101,182,0.23,0.13,0.23
com.zaxxer:HikariCP,org.apache.curator:curator-recipes,12,135,128,0.09,0.09,0.09
cglib:cglib,org.apache.commons:commons-compress,23,126,227,0.18,0.1,0.18
cglib:cglib,org.mockito:mockito-all,26,126,388,0.21,0.07,0.21
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.apache.httpcomponents:httpcore,40,134,255,0.3,0.16,0.3
org.mongodb:mongo-java-driver,org.springframework:spring-context,36,110,417,0.33,0.09,0.33
org.hamcrest:hamcrest-library,org.springframework:spring-beans,38,224,252,0.17,0.15,0.17
commons-cli:commons-cli,io.springfox:springfox-swagger2,9,368,137,0.02,0.07,0.07
com.alibaba:fastjson,commons-io:commons-io,112,288,1001,0.39,0.11,0.39
com.alibaba:fastjson,org.springframework:spring-jdbc,38,288,211,0.13,0.18,0.18
org.hibernate:hibernate-validator,org.yaml:snakeyaml,19,149,255,0.13,0.07,0.13
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.apache.maven:maven-core,21,122,183,0.17,0.11,0.17
commons-net:commons-net,org.apache.commons:commons-collections4,32,126,217,0.25,0.15,0.25
commons-net:commons-net,org.springframework:spring-expression,17,126,108,0.13,0.16,0.16
javax.annotation:javax.annotation-api,org.assertj:assertj-core,60,235,425,0.26,0.14,0.26
javax.annotation:javax.annotation-api,org.apache.maven:maven-plugin-api,29,235,254,0.12,0.11,0.12
javax.mail:mail,org.json:json,39,154,219,0.25,0.18,0.25
javax.mail:mail,javax.servlet:javax.servlet-api,65,154,468,0.42,0.14,0.42
org.apache.commons:commons-math3,org.bouncycastle:bcpkix-jdk15on,18,177,142,0.1,0.13,0.13
org.slf4j:slf4j-jdk14,org.springframework.boot:spring-boot-starter-test,4,101,127,0.04,0.03,0.04
com.thoughtworks.xstream:xstream,xerces:xercesImpl,18,115,109,0.16,0.17,0.17
com.thoughtworks.xstream:xstream,org.yaml:snakeyaml,23,115,255,0.2,0.09,0.2
commons-dbcp:commons-dbcp,org.apache.commons:commons-lang3,61,122,918,0.5,0.07,0.5
io.netty:netty-handler,org.mybatis.spring.boot:mybatis-spring-boot-starter,1,106,125,0.01,0.01,0.01
commons-logging:commons-logging,log4j:log4j,152,360,491,0.42,0.31,0.42
commons-logging:commons-logging,mysql:mysql-connector-java,93,360,494,0.26,0.19,0.26
org.apache.commons:commons-lang3,org.bouncycastle:bcpkix-jdk15on,69,918,142,0.08,0.49,0.49
org.awaitility:awaitility,org.projectlombok:lombok,15,141,373,0.11,0.04,0.11
org.apache.curator:curator-framework,org.junit.jupiter:junit-jupiter-params,5,116,151,0.04,0.03,0.04
org.hibernate:hibernate-entitymanager,org.springframework:spring-orm,47,109,124,0.43,0.38,0.43
commons-httpclient:commons-httpclient,javax.activation:activation,16,138,102,0.12,0.16,0.16
com.beust:jcommander,commons-lang:commons-lang,28,100,415,0.28,0.07,0.28
com.fasterxml.jackson.core:jackson-databind,org.reflections:reflections,87,804,167,0.11,0.52,0.52
com.squareup.okhttp3:okhttp,org.json:json,27,212,219,0.13,0.12,0.13
ch.qos.logback:logback-core,org.apache.velocity:velocity,14,211,126,0.07,0.11,0.11
ch.qos.logback:logback-core,com.fasterxml.jackson.datatype:jackson-datatype-jsr310,17,211,102,0.08,0.17,0.17
ch.qos.logback:logback-core,org.apache.commons:commons-pool2,18,211,114,0.09,0.16,0.16
com.fasterxml.jackson.core:jackson-annotations,org.apache.logging.log4j:log4j-api,90,429,267,0.21,0.34,0.34
javax.servlet.jsp:jsp-api,org.springframework.boot:spring-boot-starter-web,6,103,139,0.06,0.04,0.06
javax.servlet.jsp:jsp-api,org.apache.httpcomponents:httpcore,16,103,255,0.16,0.06,0.16
com.google.guava:guava,mysql:mysql-connector-java,255,1138,494,0.22,0.52,0.52
javax.inject:javax.inject,org.easymock:easymock,21,187,185,0.11,0.11,0.11
org.antlr:antlr4-runtime,org.hamcrest:hamcrest-core,15,114,213,0.13,0.07,0.13
commons-beanutils:commons-beanutils,org.ow2.asm:asm,39,271,164,0.14,0.24,0.24
commons-beanutils:commons-beanutils,org.springframework:spring-context-support,50,271,150,0.18,0.33,0.33
com.fasterxml.jackson.core:jackson-core,org.hibernate:hibernate-core,69,510,193,0.14,0.36,0.36
com.fasterxml.jackson.core:jackson-core,com.google.guava:guava,315,510,1138,0.62,0.28,0.62
com.google.protobuf:protobuf-java,org.codehaus.groovy:groovy-all,16,258,117,0.06,0.14,0.14
com.google.protobuf:protobuf-java,org.apache.maven:maven-core,14,258,183,0.05,0.08,0.08
org.apache.logging.log4j:log4j-slf4j-impl,org.springframework.security:spring-security-web,13,217,102,0.06,0.13,0.13
org.bouncycastle:bcpkix-jdk15on,org.hibernate:hibernate-validator,6,142,149,0.04,0.04,0.04
org.apache.poi:poi,org.junit.jupiter:junit-jupiter-api,7,129,262,0.05,0.03,0.05
org.apache.kafka:kafka-clients,org.apache.velocity:velocity,7,150,126,0.05,0.06,0.06
org.glassfish.jaxb:jaxb-runtime,org.hamcrest:hamcrest-library,18,132,224,0.14,0.08,0.14
com.jayway.jsonpath:json-path,javax.mail:mail,15,120,154,0.13,0.1,0.13
com.jayway.jsonpath:json-path,org.testng:testng,19,120,278,0.16,0.07,0.16
com.jayway.jsonpath:json-path,org.apache.poi:poi,16,120,129,0.13,0.12,0.13
junit:junit,org.testng:testng,138,2231,278,0.06,0.5,0.5
org.springframework:spring-expression,redis.clients:jedis,18,108,179,0.17,0.1,0.17
org.apache.maven:maven-artifact,org.openjdk.jmh:jmh-generator-annprocess,10,117,192,0.09,0.05,0.09
mysql:mysql-connector-java,org.springframework:spring-web,100,494,278,0.2,0.36,0.36
org.apache.curator:curator-recipes,org.assertj:assertj-core,16,128,425,0.13,0.04,0.13
com.google.code.gson:gson,org.junit.jupiter:junit-jupiter-params,36,624,151,0.06,0.24,0.24
org.apache.thrift:libthrift,org.hsqldb:hsqldb,9,102,190,0.09,0.05,0.09
org.junit.jupiter:junit-jupiter,org.powermock:powermock-api-mockito2,4,133,100,0.03,0.04,0.04
com.alibaba:druid,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,6,137,134,0.04,0.04,0.04
com.alibaba:druid,org.apache.ant:ant,4,137,154,0.03,0.03,0.03
org.apache.avro:avro,org.mongodb:mongo-java-driver,18,108,110,0.17,0.16,0.17
org.apache.avro:avro,org.jsoup:jsoup,12,108,220,0.11,0.05,0.11
org.bouncycastle:bcprov-jdk15on,org.postgresql:postgresql,35,182,230,0.19,0.15,0.19
io.springfox:springfox-swagger-ui,org.slf4j:slf4j-jdk14,1,121,101,0.01,0.01,0.01
javax.servlet:servlet-api,org.slf4j:log4j-over-slf4j,19,267,121,0.07,0.16,0.16
com.h2database:h2,commons-codec:commons-codec,125,353,570,0.35,0.22,0.35
org.apache.commons:commons-collections4,org.aspectj:aspectjweaver,26,217,163,0.12,0.16,0.16
org.apache.commons:commons-collections4,org.awaitility:awaitility,21,217,141,0.1,0.15,0.15
log4j:log4j,org.bouncycastle:bcpkix-jdk15on,30,491,142,0.06,0.21,0.21
org.apache.lucene:lucene-analyzers-common,org.springframework:spring-web,20,105,278,0.19,0.07,0.19
org.apache.lucene:lucene-analyzers-common,org.easymock:easymock,13,105,185,0.12,0.07,0.12
commons-validator:commons-validator,org.slf4j:jul-to-slf4j,18,101,140,0.18,0.13,0.18
com.zaxxer:HikariCP,io.netty:netty-handler,12,135,106,0.09,0.11,0.11
cglib:cglib,org.eclipse.jetty:jetty-util,14,126,110,0.11,0.13,0.13
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,commons-configuration:commons-configuration,14,134,146,0.1,0.1,0.1
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.slf4j:jul-to-slf4j,16,134,140,0.12,0.11,0.12
commons-cli:commons-cli,org.aspectj:aspectjrt,21,368,111,0.06,0.19,0.19
commons-cli:commons-cli,org.scala-lang:scala-library,52,368,174,0.14,0.3,0.3
com.alibaba:fastjson,io.netty:netty-handler,8,288,106,0.03,0.08,0.08
com.alibaba:fastjson,com.beust:jcommander,9,288,100,0.03,0.09,0.09
com.alibaba:fastjson,org.apache.commons:commons-text,20,288,174,0.07,0.11,0.11
com.alibaba:fastjson,junit:junit,150,288,2231,0.52,0.07,0.52
org.apache.commons:commons-csv,org.mockito:mockito-junit-jupiter,10,125,107,0.08,0.09,0.09
commons-collections:commons-collections,org.mongodb:mongo-java-driver,27,272,110,0.1,0.25,0.25
commons-collections:commons-collections,org.apache.maven:maven-artifact,25,272,117,0.09,0.21,0.21
com.thoughtworks.xstream:xstream,commons-net:commons-net,15,115,126,0.13,0.12,0.13
com.thoughtworks.xstream:xstream,org.slf4j:log4j-over-slf4j,13,115,121,0.11,0.11,0.11
org.aspectj:aspectjweaver,org.testng:testng,19,163,278,0.12,0.07,0.12
org.apache.zookeeper:zookeeper,org.springframework.security:spring-security-web,12,183,102,0.07,0.12,0.12
ch.qos.logback:logback-classic,org.slf4j:slf4j-api,523,657,1366,0.8,0.38,0.8
commons-configuration:commons-configuration,org.codehaus.jackson:jackson-mapper-asl,35,146,154,0.24,0.23,0.24
javax.ws.rs:javax.ws.rs-api,org.codehaus.jackson:jackson-core-asl,13,134,104,0.1,0.13,0.13
javax.servlet:jstl,org.slf4j:slf4j-simple,14,119,365,0.12,0.04,0.12
javax.servlet:jstl,org.apache.logging.log4j:log4j-core,19,119,346,0.16,0.05,0.16
commons-httpclient:commons-httpclient,org.mongodb:mongo-java-driver,16,138,110,0.12,0.15,0.15
com.beust:jcommander,commons-logging:commons-logging,18,100,360,0.18,0.05,0.18
com.beust:jcommander,xerces:xercesImpl,11,100,109,0.11,0.1,0.11
com.jcraft:jsch,org.apache.lucene:lucene-analyzers-common,5,101,105,0.05,0.05,0.05
com.fasterxml.jackson.core:jackson-databind,org.codehaus.jackson:jackson-core-asl,61,804,104,0.08,0.59,0.59
ch.qos.logback:logback-core,org.ow2.asm:asm,15,211,164,0.07,0.09,0.09
ch.qos.logback:logback-core,org.mybatis:mybatis,18,211,115,0.09,0.16,0.16
org.apache.maven.plugin-tools:maven-plugin-annotations,org.quartz-scheduler:quartz,13,219,133,0.06,0.1,0.1
org.codehaus.plexus:plexus-utils,redis.clients:jedis,5,135,179,0.04,0.03,0.04
org.slf4j:slf4j-log4j12,org.springframework:spring-web,110,528,278,0.21,0.4,0.4
org.hamcrest:hamcrest-core,org.junit.jupiter:junit-jupiter-params,22,213,151,0.1,0.15,0.15
com.google.protobuf:protobuf-java,org.eclipse.jetty:jetty-util,25,258,110,0.1,0.23,0.23
com.google.inject:guice,org.bouncycastle:bcprov-jdk15on,23,188,182,0.12,0.13,0.13
joda-time:joda-time,org.springframework:spring-expression,39,382,108,0.1,0.36,0.36
org.glassfish.jaxb:jaxb-runtime,org.slf4j:jul-to-slf4j,20,132,140,0.15,0.14,0.15
org.glassfish.jaxb:jaxb-runtime,org.slf4j:slf4j-log4j12,35,132,528,0.27,0.07,0.27
org.glassfish.jaxb:jaxb-runtime,org.springframework:spring-test,27,132,325,0.2,0.08,0.2
commons-lang:commons-lang,org.javassist:javassist,63,415,222,0.15,0.28,0.28
org.apache.curator:curator-recipes,org.codehaus.jackson:jackson-core-asl,17,128,104,0.13,0.16,0.16
org.apache.thrift:libthrift,org.mockito:mockito-core,44,102,865,0.43,0.05,0.43
org.apache.httpcomponents:httpcore,org.aspectj:aspectjrt,18,255,111,0.07,0.16,0.16
org.apache.httpcomponents:httpcore,org.easymock:easymock,40,255,185,0.16,0.22,0.22
javax.activation:activation,org.apache.zookeeper:zookeeper,11,102,183,0.11,0.06,0.11
io.dropwizard.metrics:metrics-core,org.mongodb:mongo-java-driver,7,145,110,0.05,0.06,0.06
io.dropwizard.metrics:metrics-core,javax.validation:validation-api,28,145,194,0.19,0.14,0.19
io.dropwizard.metrics:metrics-core,org.apache.ant:ant,14,145,154,0.1,0.09,0.1
io.springfox:springfox-swagger2,org.apache.kafka:kafka-clients,15,137,150,0.11,0.1,0.11
org.apache.avro:avro,org.apache.commons:commons-csv,20,108,125,0.19,0.16,0.19
org.apache.maven:maven-core,org.springframework:spring-orm,9,183,124,0.05,0.07,0.07
javax.xml.bind:jaxb-api,org.codehaus.jackson:jackson-mapper-asl,35,295,154,0.12,0.23,0.23
org.hsqldb:hsqldb,org.yaml:snakeyaml,33,190,255,0.17,0.13,0.17
org.apache.httpcomponents:httpclient,org.apache.logging.log4j:log4j-api,116,665,267,0.17,0.43,0.43
com.h2database:h2,org.codehaus.groovy:groovy-all,43,353,117,0.12,0.37,0.37
com.h2database:h2,org.springframework:spring-jdbc,84,353,211,0.24,0.4,0.4
commons-validator:commons-validator,org.openjdk.jmh:jmh-generator-annprocess,6,101,192,0.06,0.03,0.06
org.apache.commons:commons-compress,org.apache.logging.log4j:log4j-core,58,227,346,0.26,0.17,0.26
org.apache.commons:commons-compress,org.easymock:easymock,22,227,185,0.1,0.12,0.12
io.netty:netty-all,org.testng:testng,24,220,278,0.11,0.09,0.11
com.zaxxer:HikariCP,mysql:mysql-connector-java,72,135,494,0.53,0.15,0.53
cglib:cglib,org.apache.commons:commons-lang3,65,126,918,0.52,0.07,0.52
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.apache.lucene:lucene-analyzers-common,9,134,105,0.07,0.09,0.09
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.eclipse.jetty:jetty-webapp,21,134,155,0.16,0.14,0.16
org.springframework.boot:spring-boot-starter-web,org.springframework.security:spring-security-web,18,139,102,0.13,0.18,0.18
com.alibaba:fastjson,org.apache.maven:maven-plugin-api,10,288,254,0.03,0.04,0.04
org.apache.commons:commons-csv,org.powermock:powermock-module-junit4,18,125,203,0.14,0.09,0.14
org.hibernate:hibernate-validator,org.slf4j:log4j-over-slf4j,25,149,121,0.17,0.21,0.21
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,io.netty:netty-all,21,122,220,0.17,0.1,0.17
commons-net:commons-net,org.slf4j:slf4j-log4j12,40,126,528,0.32,0.08,0.32
javax.annotation:javax.annotation-api,javax.validation:validation-api,55,235,194,0.23,0.28,0.28
javax.annotation:javax.annotation-api,mysql:mysql-connector-java,61,235,494,0.26,0.12,0.26
org.apache.lucene:lucene-core,org.openjdk.jmh:jmh-core,13,136,204,0.1,0.06,0.1
commons-dbcp:commons-dbcp,org.hibernate:hibernate-entitymanager,23,122,109,0.19,0.21,0.21
commons-dbcp:commons-dbcp,org.bouncycastle:bcprov-jdk15on,9,122,182,0.07,0.05,0.07
io.netty:netty-handler,org.hamcrest:hamcrest,10,106,127,0.09,0.08,0.09
commons-logging:commons-logging,org.hamcrest:hamcrest-library,50,360,224,0.14,0.22,0.22
org.apache.zookeeper:zookeeper,org.powermock:powermock-module-junit4,34,183,203,0.19,0.17,0.19
org.awaitility:awaitility,org.slf4j:jul-to-slf4j,15,141,140,0.11,0.11,0.11
com.google.code.findbugs:jsr305,org.apache.kafka:kafka-clients,35,315,150,0.11,0.23,0.23
org.jsoup:jsoup,org.springframework:spring-context-support,33,220,150,0.15,0.22,0.22
ch.qos.logback:logback-classic,org.slf4j:slf4j-jdk14,22,657,101,0.03,0.22,0.22
ch.qos.logback:logback-classic,org.codehaus.jackson:jackson-core-asl,27,657,104,0.04,0.26,0.26
org.codehaus.jackson:jackson-core-asl,org.openjdk.jmh:jmh-core,11,104,204,0.11,0.05,0.11
javax.ws.rs:javax.ws.rs-api,org.mybatis.spring.boot:mybatis-spring-boot-starter,3,134,125,0.02,0.02,0.02
org.hibernate:hibernate-entitymanager,org.springframework:spring-tx,36,109,160,0.33,0.23,0.33
javax.servlet:jstl,org.projectlombok:lombok,17,119,373,0.14,0.05,0.14
org.apache.httpcomponents:httpmime,org.hamcrest:hamcrest-core,13,143,213,0.09,0.06,0.09
com.fasterxml.jackson.core:jackson-databind,org.springframework:spring-context-support,88,804,150,0.11,0.59,0.59
com.squareup.okhttp3:okhttp,org.apache.hadoop:hadoop-common,8,212,125,0.04,0.06,0.06
ch.qos.logback:logback-core,org.openjdk.jmh:jmh-core,17,211,204,0.08,0.08,0.08
com.fasterxml.jackson.core:jackson-annotations,org.springframework:spring-aop,63,429,171,0.15,0.37,0.37
com.fasterxml.jackson.core:jackson-annotations,org.apache.logging.log4j:log4j-slf4j-impl,69,429,217,0.16,0.32,0.32
com.google.guava:guava,org.apache.maven:maven-artifact,60,1138,117,0.05,0.51,0.51
com.google.guava:guava,javax.activation:activation,57,1138,102,0.05,0.56,0.56
javax.servlet:javax.servlet-api,org.apache.curator:curator-recipes,50,468,128,0.11,0.39,0.39
javax.inject:javax.inject,javax.servlet:javax.servlet-api,73,187,468,0.39,0.16,0.39
javax.inject:javax.inject,org.reflections:reflections,23,187,167,0.12,0.14,0.14
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.hibernate:hibernate-validator,12,102,149,0.12,0.08,0.12
org.apache.ant:ant,org.mongodb:mongo-java-driver,8,154,110,0.05,0.07,0.07
commons-beanutils:commons-beanutils,org.reflections:reflections,49,271,167,0.18,0.29,0.29
com.fasterxml.jackson.core:jackson-core,org.springframework:spring-beans,102,510,252,0.2,0.4,0.4
com.fasterxml.jackson.core:jackson-core,javax.inject:javax.inject,72,510,187,0.14,0.39,0.39
com.google.protobuf:protobuf-java,org.apache.zookeeper:zookeeper,69,258,183,0.27,0.38,0.38
com.google.protobuf:protobuf-java,org.springframework:spring-web,30,258,278,0.12,0.11,0.12
org.apache.logging.log4j:log4j-slf4j-impl,org.elasticsearch:elasticsearch,18,217,118,0.08,0.15,0.15
org.apache.logging.log4j:log4j-slf4j-impl,org.springframework:spring-aop,23,217,171,0.11,0.13,0.13
org.apache.logging.log4j:log4j-slf4j-impl,org.springframework:spring-webmvc,30,217,251,0.14,0.12,0.14
org.junit.jupiter:junit-jupiter-api,org.testng:testng,22,262,278,0.08,0.08,0.08
org.apache.poi:poi,org.springframework.boot:spring-boot-starter-web,8,129,139,0.06,0.06,0.06
org.springframework:spring-expression,org.testcontainers:testcontainers,9,108,111,0.08,0.08,0.08
commons-lang:commons-lang,org.apache.zookeeper:zookeeper,66,415,183,0.16,0.36,0.36
org.powermock:powermock-api-mockito2,org.springframework:spring-orm,8,100,124,0.08,0.06,0.08
mysql:mysql-connector-java,org.apache.velocity:velocity,47,494,126,0.1,0.37,0.37
mysql:mysql-connector-java,org.springframework:spring-expression,45,494,108,0.09,0.42,0.42
org.apache.curator:curator-recipes,org.codehaus.plexus:plexus-utils,5,128,135,0.04,0.04,0.04
org.apache.curator:curator-recipes,org.mockito:mockito-all,23,128,388,0.18,0.06,0.18
org.apache.curator:curator-recipes,org.quartz-scheduler:quartz,19,128,133,0.15,0.14,0.15
javax.activation:activation,org.apache.httpcomponents:httpclient,49,102,665,0.48,0.07,0.48
com.alibaba:druid,javax.validation:validation-api,12,137,194,0.09,0.06,0.09
com.alibaba:druid,org.apache.commons:commons-pool2,21,137,114,0.15,0.18,0.18
io.dropwizard.metrics:metrics-core,org.bouncycastle:bcprov-jdk15on,24,145,182,0.17,0.13,0.17
com.github.ben-manes.caffeine:caffeine,org.springframework:spring-expression,10,102,108,0.1,0.09,0.1
org.apache.maven:maven-plugin-api,org.openjdk.jmh:jmh-generator-annprocess,23,254,192,0.09,0.12,0.12
org.hamcrest:hamcrest,org.mybatis:mybatis,3,127,115,0.02,0.03,0.03
org.assertj:assertj-core,org.hamcrest:hamcrest-all,38,425,236,0.09,0.16,0.16
org.apache.poi:poi-ooxml,org.springframework:spring-context,35,134,417,0.26,0.08,0.26
org.springframework.security:spring-security-web,org.springframework:spring-context-support,40,102,150,0.39,0.27,0.39
org.apache.commons:commons-collections4,org.apache.maven:maven-artifact,14,217,117,0.06,0.12,0.12
org.apache.logging.log4j:log4j-api,org.apache.poi:poi-ooxml,26,267,134,0.1,0.19,0.19
org.apache.commons:commons-compress,org.codehaus.jackson:jackson-core-asl,34,227,104,0.15,0.33,0.33
org.apache.commons:commons-compress,org.springframework:spring-core,50,227,326,0.22,0.15,0.22
io.netty:netty-all,org.aspectj:aspectjrt,15,220,111,0.07,0.14,0.14
io.netty:netty-all,org.springframework:spring-jdbc,27,220,211,0.12,0.13,0.13
org.javassist:javassist,org.jsoup:jsoup,37,222,220,0.17,0.17,0.17
org.mongodb:mongo-java-driver,xerces:xercesImpl,12,110,109,0.11,0.11,0.11
com.alibaba:fastjson,org.elasticsearch:elasticsearch,18,288,118,0.06,0.15,0.15
commons-net:commons-net,org.apache.velocity:velocity,18,126,126,0.14,0.14,0.14
commons-collections:commons-collections,io.netty:netty-all,43,272,220,0.16,0.2,0.2
org.apache.lucene:lucene-core,org.mockito:mockito-core,45,136,865,0.33,0.05,0.33
org.apache.lucene:lucene-core,org.mybatis.spring.boot:mybatis-spring-boot-starter,5,136,125,0.04,0.04,0.04
commons-logging:commons-logging,javax.servlet:javax.servlet-api,121,360,468,0.34,0.26,0.34
commons-logging:commons-logging,junit:junit,287,360,2231,0.8,0.13,0.8
org.aspectj:aspectjweaver,org.eclipse.jetty:jetty-webapp,26,163,155,0.16,0.17,0.17
org.hibernate:hibernate-core,org.springframework:spring-context-support,47,193,150,0.24,0.31,0.31
org.apache.commons:commons-lang3,org.freemarker:freemarker,70,918,150,0.08,0.47,0.47
org.apache.commons:commons-lang3,org.springframework:spring-tx,87,918,160,0.09,0.54,0.54
org.apache.curator:curator-framework,org.yaml:snakeyaml,24,116,255,0.21,0.09,0.21
ch.qos.logback:logback-classic,org.powermock:powermock-module-junit4,65,657,203,0.1,0.32,0.32
commons-configuration:commons-configuration,org.hamcrest:hamcrest,9,146,127,0.06,0.07,0.07
javax.servlet:jstl,org.springframework.boot:spring-boot-starter-web,8,119,139,0.07,0.06,0.07
