dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.apache.httpcomponents:httpclient,62,134,665,0.46,0.09,0.46
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.apache.lucene:lucene-core,13,134,136,0.1,0.1,0.1
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,com.fasterxml.jackson.datatype:jackson-datatype-jsr310,35,134,102,0.26,0.34,0.34
commons-cli:commons-cli,org.junit.jupiter:junit-jupiter-engine,45,368,312,0.12,0.14,0.14
org.springframework:spring-context-support,org.yaml:snakeyaml,28,150,255,0.19,0.11,0.19
javax.mail:mail,org.quartz-scheduler:quartz,30,154,133,0.19,0.23,0.23
org.apache.lucene:lucene-core,org.junit.jupiter:junit-jupiter-params,7,136,151,0.05,0.05,0.05
org.apache.lucene:lucene-core,org.awaitility:awaitility,12,136,141,0.09,0.09,0.09
com.thoughtworks.xstream:xstream,org.powermock:powermock-module-junit4,14,115,203,0.12,0.07,0.12
com.thoughtworks.xstream:xstream,org.apache.avro:avro,11,115,108,0.1,0.1,0.1
com.google.code.findbugs:jsr305,javax.servlet.jsp:jsp-api,14,315,103,0.04,0.14,0.14
javax.ws.rs:javax.ws.rs-api,org.apache.zookeeper:zookeeper,20,134,183,0.15,0.11,0.15
org.hamcrest:hamcrest-all,org.powermock:powermock-module-junit4,34,236,203,0.14,0.17,0.17
commons-httpclient:commons-httpclient,org.junit.jupiter:junit-jupiter-engine,11,138,312,0.08,0.04,0.08
com.beust:jcommander,org.bouncycastle:bcprov-jdk15on,16,100,182,0.16,0.09,0.16
com.jcraft:jsch,org.apache.commons:commons-collections4,20,101,217,0.2,0.09,0.2
org.apache.commons:commons-text,org.eclipse.jetty:jetty-util,22,174,110,0.13,0.2,0.2
com.fasterxml.jackson.core:jackson-databind,org.springframework.boot:spring-boot-starter-web,77,804,139,0.1,0.55,0.55
com.squareup.okhttp3:okhttp,org.easymock:easymock,7,212,185,0.03,0.04,0.04
ch.qos.logback:logback-core,org.antlr:antlr4-runtime,12,211,114,0.06,0.11,0.11
com.fasterxml.jackson.core:jackson-annotations,org.apache.zookeeper:zookeeper,69,429,183,0.16,0.38,0.38
com.fasterxml.jackson.core:jackson-annotations,org.antlr:antlr4-runtime,34,429,114,0.08,0.3,0.3
com.fasterxml.jackson.core:jackson-annotations,org.springframework:spring-test,104,429,325,0.24,0.32,0.32
org.postgresql:postgresql,org.powermock:powermock-module-junit4,36,230,203,0.16,0.18,0.18
javax.servlet.jsp:jsp-api,org.mockito:mockito-core,33,103,865,0.32,0.04,0.32
javax.inject:javax.inject,org.apache.maven:maven-artifact,20,187,117,0.11,0.17,0.17
org.apache.ant:ant,org.springframework:spring-expression,10,154,108,0.06,0.09,0.09
org.hamcrest:hamcrest-core,org.springframework.security:spring-security-web,14,213,102,0.07,0.14,0.14
org.scala-lang:scala-library,org.testng:testng,25,174,278,0.14,0.09,0.14
com.fasterxml.jackson.core:jackson-core,org.codehaus.groovy:groovy-all,42,510,117,0.08,0.36,0.36
org.eclipse.jetty:jetty-servlet,org.quartz-scheduler:quartz,28,189,133,0.15,0.21,0.21
org.mockito:mockito-all,org.testng:testng,57,388,278,0.15,0.21,0.21
joda-time:joda-time,org.apache.maven:maven-core,30,382,183,0.08,0.16,0.16
com.googlecode.json-simple:json-simple,commons-validator:commons-validator,22,151,101,0.15,0.22,0.22
com.googlecode.json-simple:json-simple,org.mongodb:mongo-java-driver,19,151,110,0.13,0.17,0.17
org.junit.jupiter:junit-jupiter-engine,org.springframework.security:spring-security-web,14,312,102,0.04,0.14,0.14
org.junit.jupiter:junit-jupiter-engine,org.mongodb:mongo-java-driver,13,312,110,0.04,0.12,0.12
org.junit.jupiter:junit-jupiter-engine,org.quartz-scheduler:quartz,14,312,133,0.04,0.11,0.11
javax.activation:activation,org.scala-lang:scala-library,13,102,174,0.13,0.07,0.13
org.junit.jupiter:junit-jupiter,org.slf4j:slf4j-log4j12,17,133,528,0.13,0.03,0.13
org.easymock:easymock,org.javassist:javassist,34,185,222,0.18,0.15,0.18
org.apache.commons:commons-pool2,org.apache.curator:curator-framework,14,114,116,0.12,0.12,0.12
net.java.dev.jna:jna,org.mockito:mockito-junit-jupiter,11,146,107,0.08,0.1,0.1
org.apache.avro:avro,org.apache.httpcomponents:httpmime,11,108,143,0.1,0.08,0.1
org.slf4j:jcl-over-slf4j,org.springframework:spring-core,98,298,326,0.33,0.3,0.33
commons-fileupload:commons-fileupload,commons-io:commons-io,175,234,1001,0.75,0.17,0.75
org.freemarker:freemarker,org.springframework:spring-tx,23,150,160,0.15,0.14,0.15
org.apache.poi:poi-ooxml,org.testng:testng,17,134,278,0.13,0.06,0.13
