groupId,artifactId
com.dianping.puma,puma-alarm
com.yomahub,tlog-gateway
org.dkpro.core,dkpro-core-treetagger-asl
com.github.ata4,ioutils
com.oracle.oci.sdk,oci-java-sdk-addons-apache
org.apache.deltaspike.modules,deltaspike-partial-bean-module-api
org.apache.nifi,nifi-kite-processors
com.codingapi.txlcn,txlcn-tc
org.wso2.carbon.automation,org.wso2.carbon.automation.api
io.micronaut,micronaut-inject
com.github.waffle,waffle-shiro
net.kyori,adventure-platform-bukkit
com.spotify,zoltar-api
io.quarkus,quarkus-panacheql
org.wildfly.core,wildfly-subsystem-test-framework
org.eclipse.rap,org.eclipse.rap.rwt
ro.pippo,pippo-controller
com.google.security.zynamics.binnavi,yfileswrap-obfuscated
com.microsoft.azure,azure-keyvault-cryptography
org.openimaj,image-local-features
io.vlingo.xoom,xoom-auth
io.opentracing.contrib,opentracing-thrift
org.jwat,jwat-common
com.sun.faces.test.javaee6web,flowDefiningDocumentIdJar2
com.sun.faces.test.javaee6web,flowDefiningDocumentIdJar1
org.apache.unomi,unomi-web-tracker-wab
org.openhab.addons.bundles,org.openhab.binding.rfxcom
org.xwiki.platform,xwiki-platform-store-merge-default
org.jenkins-ci.plugins,configurationslicing
consulo,consulo-web-bootstrap
eu.europa.ec.joinup.sd-dss,dss-asic-xades
com.google.code.cli-parser,cli
io.debezium,debezium-server-eventhubs
org.pepsoft.worldpainter,WPCore
org.apache.xmlgraphics,batik-svgpp
org.kie.kogito,monitoring-elastic-springboot-addon
io.nuls.tools-module,tools
org.apache.pinot,pinot-common
org.springframework.cloud,spring-cloud-dataflow-core-dsl
org.locationtech.geogig,geogig-geotools
io.nuls.contract-module,contract-base
com.thinkbiganalytics.kylo.integrations,kylo-spark-validate-cleanse-spark-v1
com.github.dapeng-soa,dapeng-transaction-api
com.flowpowered,flow-networking
org.testcontainers,dynalite
org.wso2.carbon.identity.local.auth.requestpath.basic,org.wso2.carbon.identity.application.authenticator.requestpath.basicauth.server.feature
org.eclipse.ditto,ditto-internal-utils-aggregator
org.apache.maven,maven-project-builder
org.crashub,crash.packaging
org.apache.camel.quarkus,camel-quarkus-weka
org.restcomm,restcomm-connect.tts.voicerss
com.mycila.com.google.inject,guice
org.jboss.arquillian.container,arquillian-jetty-embedded-7
com.thinkbiganalytics.kylo.integrations,kylo-spark-validate-cleanse-spark-v2
surefire-979,module1
org.sakaiproject.sitemanage,sakai-site-manage-api
asm,asm-debug-all
club.mydlq,service-feign-interface
io.spring.example,couchbase-consumer
org.opendaylight.controller,sal-remoterpc-connector
org.apache.apex,apex-shaded-ning19
com.github.DieReicheErethons,Brewery
com.github.braisdom,mangosdk-spi
syncer,syncer-common
org.opennms.features.enlinkd,org.opennms.features.enlinkd.adapters.updaters.cdp
org.jboss.osgi.metadata,jbosgi-metadata
org.apache.flink,flink-shaded-guava
io.quarkus,quarkus-qute
org.mage,mage-deck-limited
org.jboss.arquillian.container,arquillian-jetty-embedded-9
ddf.catalog.core,versioning-api
io.bdrc,mcouch-ektorp
org.prefuse,prefuse
org.apache.aries.cdi,org.apache.aries.cdi.weld
io.quarkus,quarkus-test-oidc-server
org.apache.tomee,openejb-provisionning
fish.payara.server.internal.web,jstl-connector
org.wicketTutorial,TestAjaxEventsExample
org.forgerock.openam,openam-ldap-utils
org.apache.camel.quarkus,camel-quarkus-azure-storage-datalake
org.questdb,questdb
com.google.code.simple-spring-memcached,spymemcached
com.codingapi.txlcn,txlcn-tm
org.quartz-scheduler.wso2,quartz
org.dashbuilder,dashbuilder-cms-client
org.apache.nifi,nifi-hbase_2-client-service
org.neo4j.springframework.data,spring-data-neo4j-rx-spring-boot-starter
me.lucko,commodore
org.apache.pulsar,pulsar-io-cassandra
io.quarkus,quarkus-oidc-common
com.tangyh.lamp,lamp-file-controller
software.amazon.awssdk,customerprofiles
com.skyeye,skyeye-service-impl
org.apache.servicemix.bundles,org.apache.servicemix.bundles.aws-java-sdk
org.testcontainers,junit-jupiter
cn.springcloud.gray,spring-cloud-gray-plugin-eureka
org.apache.camel.quarkus,camel-quarkus-servicenow
org.opennms.osgi,opennms-osgi-core-rest
io.ebean,ebean-redis
com.alibaba.jvm.sandbox,sandbox-api
org.graphfoundation.ongdb,ongdb-geequel-interpreted-runtime
fish.payara.server.internal.cluster,cluster-cli
net.spy,spymemcached
org.bytedeco,libpostal-platform
org.apache.omid,omid-hbase-client-hbase2.x
org.glassfish,javax.annotation
com.dracoon,dracoon-crypto-sdk
com.badlogicgames.gdx,gdx
org.nuxeo.ecm.platform,nuxeo-platform-signature-core
org.talend.esb.auxiliary.storage,auxiliary-storage-features
dk.dma.ais.lib,ais-lib-messages
io.scigraph,scigraph-analysis
org.odpi.egeria,rex-view-spring
org.apache.xmlgraphics,batik-test-swing
org.apache.edgent,edgent-connectors-http
com.github.javafaker,javafaker
org.kordamp.ikonli,ikonli-materialdesign-pack
io.vertx,vertx-auth-webauthn
org.eclipse.jgit,org.eclipse.jgit.lfs
tk.mybatis,mapper-core
com.facebook.presto,presto-server
org.opennms.core.ipc.rpc,org.opennms.core.ipc.rpc.xml
org.apache.servicecomb.toolkit,oas-validator-compatibility
org.apache.edgent.java7,edgent-connectors-iot
com.vmware.mangle,mangle-byteman-submit
com.navercorp.pinpoint,pinpoint-commons-hbase
org.slf4j,slf4j-jcl
com.googlecode.wicket-jquery-ui,wicket-kendo-ui-theme-bootstrap
com.gwtplatform,gwtp-mvp-shared
org.jitsi,jitsi-desktoputil
io.stargate.metrics,metrics-jersey
com.github.snksoft,crc
org.apache.camel.quarkus,camel-quarkus-aws2-msk
org.apache.nifi,nifi-druid-processors
org.apache.isis.core,isis-core-runtime
org.jeasy,easy-rules-support
org.apache.calcite,calcite-babel
org.apache.hbase,hbase-common
org.eclipse.leshan,leshan-server-cf
org.activiti,activiti-api-task-model
io.etcd,jetcd-common
de.metas.vertical.healthcare_ch,vertical-healthcare_ch.forum_datenaustausch_ch.invoice_xversion
org.geotools.schemas,xlink-1999
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.decompounding-model-splitter-de-grfExt
org.testfx,testfx-junit5
com.googlecode.sardine,sardine
net.sourceforge.htmlcleaner,htmlcleaner
org.apache.knox,gateway-discovery-cm
org.scalamock,scalamock_2.12
com.github.neuroph,neuroph-imgrec
org.dcache,dcache-view
com.tduck,tduck-storage
org.codelibs,analyzers
io.quarkus,quarkus-resteasy-jackson
com.mploed.dddwithspring.scoring,adapters-output
org.wildfly.swarm,webservices-modules
io.quarkus.benchmark,base
com.foundationdb,fdb-sql-parser
org.apache.archiva.components,archiva-components-spring-quartz
io.quarkus,quarkus-oidc-token-propagation
com.microsoft.rest,client-runtime
org.netbeans.modules,org-netbeans-modules-editor-actions
com.creditease.moniter,com.creditease.uav.notifymanager
org.odpi.egeria,asset-consumer-api
org.wso2.carbon.identity.governance,org.wso2.carbon.identity.api.user.recovery
org.coffeeking,org.coffeeking.connectedcup.plugin
ddf.catalog.transformer,catalog-transformer-propertyjson-metacard
io.gravitee.node,gravitee-node-api
com.splicemachine,hbase_pipeline
org.openhab.core.bundles,org.openhab.core.model.lsp
org.t-io,tio-websocket-common
io.seata,seata-codec-all
com.slack.api,bolt-google-cloud-functions
io.apiman,apiman-common-logging-slf4j
org.neo4j,neo4j-parser
io.qameta.allure,allure-testng
org.apache.servicemix.examples,camel-cxf-soap-route
org.nutz,nutzboot-starter-wkcache
org.glassfish.hk2.external,javax.inject
org.tuxdevelop,spring-batch-lightmin-core-configuration
org.bstats,bstats-bungeecord
org.jitsi,jitsi-protocol-sip
org.owasp.test.aggregate,fourth
org.gradle,gradle-plugins
org.eclipse.jkube,jkube-kit-config-image
org.cloudera.htrace,htrace-core
org.sonatype.nexus.plugins,nexus-audit-plugin
org.geoserver.web,gs-web-sec-ldap
io.enmasse,discovery-lib
org.apache.shenyu,shenyu-spring-boot-starter-plugin-sofa
com.ibm.wala,com.ibm.wala.shrike
com.denimgroup.threadfix,threadfix-offline
com.amazonaws,aws-java-sdk-kms
org.apache.nifi,nifi-rules-action-handler-service
openlatexstudio,Editor
org.wikidata.wdtk,wdtk-client
com.hotels,waggle-dance-rest
org.springframework.cloud.fn,geode-common
io.atlasmap,atlas-java-model
org.apache.xbean,xbean-asm7-shaded
org.wso2.carbon.identity.conditional.auth.functions,org.wso2.carbon.identity.conditional.auth.functions.cookie
com.mapr.db,maprdb
org.keycloak,keycloak-admin-client
cn.jbone,jbone-common
com.facebook.airlift,json
org.apache.camel,camel-jsonpath
org.eclipse.jetty,jetty-reactive-httpclient
com.jd.survey,jdsurvey-intcont
com.linkedpipes,rdf-utils-rdf4j
org.ranksys,RankSys-fast
com.google.code.maven-scm-provider-svnjava,maven-scm-provider-svnjava
org.apache.shenyu,shenyu-spi
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.mecab-model-tagger-jp-ipadic
org.sonatype.ossindex,ossindex-service-client
fish.payara.server.internal.extras,payara-micro-core
org.apache.commons,commons-proxy
io.quarkus,quarkus-resteasy-mutiny-deployment
org.bytedeco,ffmpeg-platform
systems.manifold,manifold-ext-middle-test
org.wso2.carbon.identity.local.auth.fido,org.wso2.carbon.identity.api.user.fido2
com.taobao.arthas,arthas-tunnel-client
org.apache.james,james-server-protocols-library
com.thinkbiganalytics.kylo,kylo-security-auth-kylo-local
org.apache.carbondata,carbondata-format
org.apache.james,james-server-memory-app
fr.opensagres.xdocreport,org.apache.poi.xwpf.converter.xhtml
org.neo4j,neo4j-logging
io.cattle,cattle-iaas-events
com.xingkaichun.helloworldblockchain,helloworld-blockchain-application
org.apache.camel.quarkus,camel-quarkus-jsonpath
org.apache.edgent.android,edgent-analytics-sensors
org.jboss.resteasy,resteasy-netty
org.cleartk,cleartk-ml-opennlp-maxent
cn.springcloud.gray,spring-cloud-gray-server-cluster-http-synchro-plugin
oracle.javacard,api_classic
org.wildfly.swarm,jgroups-runtime
it.ozimov,spring-boot-freemarker-email
org.apache.camel,camel-rmi
org.gephi,layout-api
com.evolveum.midpoint.repo,security-api
io.vertx,vertx-web-sstore-cookie
org.dcm4che.tool,dcm4che-tool-emf2sf
org.eclipse.vorto,mapping-target-awsiot
de.dfki.mary,voice-enst-camille-hsmm
org.forgerock.ce.commons,json-resource-servlet
org.glassfish.jersey.ext,jersey-declarative-linking
com.bladejava,blade-asm
org.thingsboard.common,dao-api
org.apache.camel.quarkus,camel-quarkus-infinispan-deployment
com.github.ignition,ignition-core-samples
org.glassfish.main.ejb,ejb-internal-api
com.azure.resourcemanager,azure-resourcemanager-storage
org.apereo.cas,cas-server-core-cookie
foundation.stack.datamill,core
io.airlift.drift,drift-transport-apache
org.minijax,minijax-core
org.eclipse.jetty.orbit,javax.activation
exclusions,included
org.dcm4che.dcm4chee-arc,dcm4chee-arc-qido
com.walmartlabs.concord.plugins.basic,lock-tasks
org.apache.camel,camel-webhook
org.springframework.boot.maven.it,acme-lib
com.alibaba.rsocket,alibaba-rsocket-spring-boot-starter
fr.pilato.elasticsearch.crawler,fscrawler-tika
io.selendroid,selendroid-grid-plugin
org.jboss.resteasy,resteasy-json-p-provider
com.fasterxml.jackson.dataformat,jackson-dataformat-ion
org.metawidget.modules.faces,metawidget-richfaces
it.unibz.inf.ontop,ontop-cli
org.sakaiproject,sakai-velocity-tool
org.testingisdocumenting.webtau,webtau-junit5-groovy
org.jboss.xnio,compat-tool
me.snowdrop,istio-common
com.github.thomasdarimont.keycloak,saml-group-idp-mapper
com.yahoo.vespa,vespa-osgi-testrunner
consulo.internal,build.serviceMessages
org.neo4j,neo4j-random-values
co.elastic.apm,apm-redis-common
org.openrdf.sesame,sesame-query
com.github.cbioportal,session-service
org.openhab.core.itests,org.openhab.core.model.thing.testsupport
org.openhab.addons.bundles,org.openhab.binding.bluetooth.ruuvitag
