repositoryName
SAP-archive/cloud-platform-iot-starterkit
SimpleAmazonGlacierUploader/SAGU
anotheria/moskito
tabulapdf/tabula-java
hyperledger/fabric-gateway-java
xwiki/xwiki-platform
haoxiaoyong1014/springboot-examples
webfolderio/ui4j
dayatang/dddlib
vmware/mangle
awslabs/aws-athena-query-federation
GideonLeGrange/mikrotik-java
uber/h3-java
raml-org/raml-java-parser
AlibabaTech/fastjson
hs-web/hsweb-easy-orm
albfernandez/juniversalchardet
Plugily-Projects/BuildBattle
hstaudacher/osgi-jax-rs-connector
sunlet/jplugin
FasterXML/woodstox
apache/httpcomponents-client
chubaostream/joyqueue
wesabe/grendel
FenixEdu/fenixedu-academic
vaadin/spring
3breadt/dd-plist
apache/usergrid
okta/okta-spring-boot
vmware/vsphere-automation-sdk-java
dlsc-software-consulting-gmbh/GMapsFX
bengtmartensson/IrScrutinizer
jexp/batch-import
tdebatty/java-string-similarity
alibaba/canal
codelibs/elasticsearch-dataformat
rest-assured/rest-assured
RojerAlone/shop
wvengen/proguard-maven-plugin
vert-x3/vertx-web
sanshengshui/netty-learning-example
apache/camel-quarkus
winder/Universal-G-Code-Sender
upyun/java-sdk
apache/metron
arturmkrtchyan/iban4j
jrbudda/Vivecraft_112
intive-FDV/DynamicJasper
graphaware/neo4j-timetree
radkovo/CSSBox
inmite/android-validation-komensky
Erudika/para
apache/servicecomb-toolkit
eBay/parallec
arangodb/arangodb-java-driver
keedio/flume-ng-sql-source
coinbase/coinbase-java
eclipse/eclipse.jdt.ls
ome/bioformats
RaiMan/SikuliX-2014
gwt-plugins/gwt-eclipse-plugin
SeleniumHQ/fluent-selenium
OpenConext/Mujina
chanjarster/weixin-java-tools
romankh3/image-comparison
sensepost/mallet
gkcs/Competitive-Programming
apache/camel
androidquery/androidquery
M66B/FairEmail
deeplearning4j/oreilly-book-dl4j-examples
alibaba/spring-context-support
snakerflow/snakerflow
infinispan/infinispan
hyperledger/fabric-sdk-java
locationtech/geowave
chrisbanes/Android-BitmapCache
kshoji/USB-MIDI-Driver
spring-projects/spring-amqp-samples
microsoft/Git-Credential-Manager-for-Mac-and-Linux
AlfrescoArchive/activiti-examples
nacos-group/nacos-sync
alibaba/DataX
vlingo/xoom-actors
mjuhasz/BDSup2Sub
dodyg/AndroidRivers
apache/tomcat80
semanticvectors/semanticvectors
rometools/rome
androidannotations/androidannotations
seleniumkit/gridrouter
uber/tchannel-java
apache/curator
orientechnologies/orientdb
rabbitmq/rabbitmq-perf-test
DataStax-Academy/cassandra-workshop-series
jensgerdes/sonar-pmd
openjdk/loom
FasterXML/jackson-annotations
jcryptool/core
