dependency,count
org.igniterealtime:tinder,1
com.netflix.ribbon:ribbon,2
com.tangyh.basic:lamp-mq-starter,3
com.sun.web.ui:cc_it,2
org.wso2.carbon:org.wso2.carbon.rest.api,1
com.microsoft.azure:azure-documentdb,1
net.ess3:Essentials,1
com.alibaba.jvm.sandbox:sandbox-api,1
com.navercorp.volleyextensions:volley-requests,1
com.thinkaurelius.titan:titan-hbase-098,1
xerces:xerces,1
org.apache.aries.jndi:org.apache.aries.jndi.core,1
cc.blynk.server.api:http-api,1
org.openhab.addons.bundles:org.openhab.binding.melcloud,1
ddf.security.handler:security-handler-oidc,1
org.glassfish.exousia:exousia,1
org.eurekastreams:eurekastreams-server,1
org.igniterealtime.smack:smack-debug,1
io.nflow:nflow-rest-api-spring-web,1
org.gluu:oxauth-static,1
org.eclipse.hawkbit:hawkbit-repository-api,1
org.objenesis:objenesis-test,1
org.batfish:minesweeper,1
org.apache.shenyu:shenyu-metrics-facade,1
org.apache.shenyu:shenyu-spring-boot-starter-sync-data-etcd,1
org.talend.esb.examples.sam-rest:sam-rest-demo-common,1
org.talend.esb.policies:correlationid-policy,1
org.hawkular.apm:hawkular-apm-examples-vertx-opentracing-common,1
com.consol.citrus:citrus-endpoint-catalog,1
org.apache.geode:gemfire-core,1
io.camunda:spring-zeebe-starter,1
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.registry.cache.stub,1
javax.samples.jnlp:jnlp-servlet,1
org.opennms.core.ipc.sink:org.opennms.core.ipc.sink.common,1
org.opennms:opennms-snmp-asset-provisioning-adapter,1
org.apache.groovy:groovy-templates,1
fish.payara.server.internal.connectors:connectors-runtime-l10n,1
com.jagrosh:DiscordIPC,1
org.neo4j:neo4j-cypher-ast-factory,1
com.devexperts.aprof:selftest,1
com.thinkbiganalytics.kylo.integrations:kylo-nifi-teradata-tdch-core,1
io.seata:seata-grpc,1
io.zipkin.reporter:zipkin-sender-kafka08,1
org.apache.knox:gateway-provider-identity-assertion-concat,1
org.apache.knox:gateway-provider-security-authz-composite,1
org.rcsb:mmtf-codec,1
com.github.almasb:fxgl-io,1
com.github.scribejava:scribejava-httpclient-apache,1
com.hubspot.rosetta:RosettaAnnotations,1
pentaho:pentaho-big-data-api-runtimeTest,1
com.github.greengerong:prerender-java,1
com.oracle:ojdbc7_g,1
com.epam:parso,1
org.apache.hop:hop-transform-rowsfromresult,1
gov.nsa.datawave.webservices:datawave-ws-cached-results,1
com.alu.e3:tdr-lib,1
org.flowable:flowable-app-engine-rest,1
org.flowable:flowable-spring-boot-starter-ui-admin,1
cn.lite.flow:lite-flow-executor-common,1
com.github.valfirst:jbehave-junit-runner,1
org.mule.runtime:mule-module-repository,1
com.pojosontheweb:selenium-utils-groovy,1
org.hotswapagent:hotswap-agent-log4j2-plugin,1
org.dashbuilder:dashbuilder-validations,1
net.Indyuce:MMOCore,1
org.openhab.addons.bundles:org.openhab.binding.vdr,1
ddf.distribution:ddf-branding-plugin,1
org.opennms.features.enlinkd:org.opennms.features.enlinkd.adapters.common,1
com.facebook.presto:presto-base-jdbc,1
org.apache.pdfbox:pdfbox,45
org.xwiki.platform:xwiki-platform-query-xwql,1
org.xwiki.platform:xwiki-platform-wiki-script,1
org.jboss.jbossts:jbossjta,3
org.joyqueue:openmessaging-spring-boot-starter,1
com.vaadin:vaadin-upload-flow,1
org.mybatis:mybatis-spring,71
org.apache.camel.quarkus:camel-quarkus-twilio,1
org.jruby:jruby-complete,22
org.apache.camel:camel-cxf,7
org.apache.camel:camel-fhir-parent,1
org.apache.camel:camel-threadpoolfactory-vertx,1
org.hsqldb:hsqldb,190
io.agroal:agroal-pool,5
com.upplication:s3fs,1
org.scala-lang:scala-reflect,46
de.dfki.mary:voice-dfki-obadiah-hsmm,1
com.github.fracpete:jshell-scripting,2
org.scalatestplus:junit-4-12_2.13,2
io.sentry:sentry-logback,2
org.springframework.boot.experimental:spring-boot-starter-data-r2dbc,1
io.stargate.grpc:grpc-proto,1
org.apache.chemistry.opencmis:chemistry-opencmis-client-impl,4
org.solovyev:common-text,1
gov.nasa.arc.mct:util,1
org.perfrepo:perfrepo-model,1
cn.dev33:sa-token-solon-plugin,1
com.bazaarvoice.jolt:json-utils,2
org.apache.nifi:nifi-aws-processors,1
org.apache.nifi:nifi-mqtt-processors,1
org.restcomm:restcomm-connect.sms,1
com.github.larseckart:tcr-extension,1
org.eclipse.kapua:kapua-qa-common,1
com.vmware.admiral:admiral-host,1
org.snakeyaml:snakeyaml-engine,5
com.github.cbismuth:junit-repeat-rule,2
net.runelite.jogl:jogl-all,1
io.kaitai:kaitai-struct-runtime,2
com.github.ua-parser:uap-java,5
com.momo:momo-permission-eureka,1
io.github.dddplus:dddplus-unit,2
ca.uhn.hapi.fhir:hapi-fhir-jpaserver-elasticsearch,1
info.debatty:java-string-similarity,2
org.csa.rstb:rstb-op-polarimetric-tools-ui,1
org.odpi.egeria:inmemory-open-metadata-topic-connector,1
com.navercorp.pinpoint:pinpoint-commons-server,1
com.navercorp.pinpoint:pinpoint-cubrid-jdbc-driver-plugin,1
io.vertx:vertx-dropwizard-metrics,4
com.j256.simplemagic:simplemagic,1
org.deeplearning4j:rl4j-api,2
org.apache.ant:ant-junit,6
org.apache.portals.applications:apa-webcontent2-reverse-proxy,1
