groupId,artifactId,mcrTags
biz.aQute.bnd,biz.aQute.junit,"junit,testing"
au.com.dius.pact.provider,junit5spring,"provider,junit,spring,testing"
org.kohsuke.stapler,stapler-adjunct-jquery,jquery
com.atomikos,transactions-jms,"jms,queue"
org.apache.kafka,kafka-clients,"streaming,kafka,apache,client"
org.jboss.windup.rules.apps,windup-rules-base-api,"jboss,api,rules"
com.alibaba.cloud,spring-cloud-starter-stream-rocketmq,"streaming,queue,spring,cloud,starter"
org.apache.maven,maven-artifact,"model,build,build-system,maven,apache"
org.eclipse.ditto,ditto-connectivity-api,"eclipse,api"
com.amazonaws,aws-java-sdk-emrcontainers,"aws,amazon,sdk"
org.uncommons.maths,uncommons-maths,"math,random,generator,security"
org.arakhne.afc.core,math,math
io.quarkus,quarkus-resteasy-mutiny-deployment,"deployment,io"
com.tngtech.archunit,archunit-junit5-api,"junit,testing,api"
org.netbeans.api,org-netbeans-spi-debugger-ui,"interface,ide,debug,ui,api,netbeans"
com.google.code.jgntp,jgntp,google
org.apache.servicecomb,config-center-client,"config,apache,client"
org.batoo.jpa,batoo-jpa,"persistence,jpa"
io.jenkins.jenkinsfile-runner,setup,"runner,jenkins,io"
org.apache.camel.quarkus,camel-quarkus-jclouds-deployment,"deployment,cloud,apache,camel"
com.nepxion,discovery-plugin-strategy-starter-sentinel-monitor,"plugin,monitor,starter,discovery"
com.octo.captcha,jcaptcha-all,captcha
io.seata,seata-config-apollo,"config,io"
org.apache.karaf.profile,org.apache.karaf.profile.core,"apache,osgi"
com.darwinsys,darwinsys-api,api
org.apache.nifi,nifi-amqp-processors,"queue,amqp,apache,processor"
org.apache.nifi,nifi-service-utils,"service,apache"
com.stormpath.spring,stormpath-spring,spring
org.apache.pulsar,pulsar-io-flume,"apache,io"
org.apache.eagle,eagle-client-base,"apache,client"
org.sonatype.aether,aether-spi,interface
org.apache.edgent.android,edgent-apps-runtime,"apache,runtime,android"
com.github.sarxos,webcam-capture-driver-ipcam,"github,camera,webcam,driver"
org.apache.santuario,xmlsec,"security,apache"
com.oracle.oci.sdk,oci-java-sdk-vault,sdk
org.springframework.experimental,spring-native-configuration,"experimental,native,spring,config"
com.hurence.logisland,logisland-processor-elasticsearch,"elasticsearch,elastic,processor,search"
org.apache.shindig,shindig-features,apache
