repositoryName
yahoo/sherlock
kobylynskyi/graphql-java-codegen
groovy/GMavenPlus
Cosium/git-code-format-maven-plugin
lukaszlenart/launch4j-maven-plugin
ferstl/depgraph-maven-plugin
casid/jte
maven-download-plugin/maven-download-plugin
git-commit-id/git-commit-id-maven-plugin
eirslett/frontend-maven-plugin
Alfresco/alfresco-sdk
randomizedtesting/randomizedtesting
gluonhq/gluonfx-maven-plugin
jhunters/jprotobuf
paulhoule/infovore
pure4j/pure4j
spotify/missinglink
reficio/p2-maven-plugin
moditect/moditect
alibaba/testable-mock
jflex-de/jflex
coveooss/fmt-maven-plugin
offbynull/coroutines
MorphiaOrg/morphia
asciidoctor/asciidoctor-maven-plugin
HubSpot/SlimFast
jmeter-maven-plugin/jmeter-maven-plugin
tcurdt/jdeb
paul-hammant/paranamer
raydac/mvn-golang
mybatis/generator
torquebox/jruby-maven-plugins
tunnelvisionlabs/antlr4cs
bytedeco/javacpp
antlr/antlr4
talios/clojure-maven-plugin
amaembo/huntbugs
davidB/scala-maven-plugin
Ekryd/sortpom
mathieucarbou/license-maven-plugin
tbroyer/gwt-maven-plugin
TNG/JGiven
confluence-publisher/confluence-publisher
spotify/dockerfile-maven
trautonen/coveralls-maven-plugin
sdbg/sdbg
fusesource/hawtjni
eclipse/microprofile
samaxes/minify-maven-plugin
ulisesbocchio/jasypt-spring-boot
victools/jsonschema-generator
Cornutum/tcases
cqfn/eo
electronicarts/ea-async
alexnederlof/Jasper-report-maven-plugin
bytemanproject/byteman
gaul/modernizer-maven-plugin
airlift/drift
gmu-swe/phosphor
luontola/retrolambda
openjfx/javafx-maven-plugin
trivago/cucable-plugin
fizzed/rocker
trivago/cluecumber-report-plugin
takari/takari-maven-plugin
temyers/cucumber-jvm-parallel-plugin
hibernate/hibernate-tools
alexec/docker-maven-plugin
