repositoryName
chanjarster/weixin-java-tools
apache/incubator-retired-htrace
neo4j-contrib/neo4j-mazerunner
kevinsawicki/http-request
jhy/jsoup
owlike/genson
rnewson/couchdb-lucene
Codecademy/EventHub
everit-org/json-schema
census-instrumentation/opencensus-java
alibaba/jvm-sandbox
4thline/cling
uwolfer/gerrit-rest-java-client
trishullab/bayou
webmetrics/browsermob-proxy
gitflow-incremental-builder/gitflow-incremental-builder
rhuss/jolokia
rest-driver/rest-driver
